70,A=PRO,U=BRAGAGNOLO S,U=CARAMBIA A J,U=HERS CABRAL A R,U=HUCZAK S M,U=LASPINA L A,U=MEDINA M N,U=MONALDI O
34,N=PRO,N=ACERENZA S M C,N=AICEGA J,N=AMADEO E P,N=ANSALONI P M,N=BALBO E S,N=BALDASSI H W,N=BERISSO H,N=BRAMBILLA S,N=BUIL S O,N=CÁCERES E A,N=CARAMBIA A J,U=ENRIQUEZ J R,N=FERNANDEZ LANGAN E,N=FREGONESE A,N=FRIZZA G A,N=GARCIA A,N=GARRETÓN F,N=GAYOL Y C,N=GONZÁLEZ Ã G,N=GRANDE M,N=HERS CABRAL A R,N=HUCZAK S M,N=HUMMEL A,N=IGLESIAS F A,N=INCICCO L C,N=LASPINA L A,U=LIPOVETZKY D A,N=LÓPEZ KOENIG L G,N=LOSPENNATO S G,N=MAQUIEYRA M,N=MASSOT N M,N=MEDINA M N,N=MOLINA K A,N=MONALDI O,U=MONTENEGRO G T,N=NUÑEZ J C,N=OCAÑA M G,N=PICCOLOMINI M C,N=POLLEDO C,N=PRETTO P J,N=ROMA C G,N=SAHAD J E,N=SCAGLIA G,N=SCHLERETH D P,N=SCHMIDT LIERMANN C,N=STEFANI H A,N=TONELLI P G,N=TORELLO P,N=URROZ P,N=VILLA N S,N=VILLALONGA J C,N=WECHSLER M G,N=WISKY S J,N=WOLFF W E
38,N=PRO,N=ACERENZA S M C,N=AICEGA J,N=AMADEO E P,N=ANSALONI P M,N=BALBO E S,N=BALDASSI H W,N=BERISSO H,N=BRAMBILLA S,N=BUIL S O,N=CÁCERES E A,N=CARAMBIA A J,N=ENRIQUEZ J R,N=FERNANDEZ LANGAN E,N=FREGONESE A,N=FRIZZA G A,N=GARCIA A,N=GARRETÓN F,N=GAYOL Y C,N=GONZÁLEZ Ã G,N=GRANDE M,N=HERS CABRAL A R,N=HUCZAK S M,N=HUMMEL A,N=IGLESIAS F A,N=INCICCO L C,N=LASPINA L A,N=LIPOVETZKY D A,N=LÓPEZ KOENIG L G,N=LOSPENNATO S G,N=MAQUIEYRA M,N=MASSOT N M,N=MEDINA M N,N=MOLINA K A,N=MONALDI O,U=MONTENEGRO G T,N=NUÑEZ J C,N=OCAÑA M G,N=PICCOLOMINI M C,N=POLLEDO C,N=PRETTO P J,N=ROMA C G,N=SAHAD J E,N=SCAGLIA G,N=SCHLERETH D P,N=SCHMIDT LIERMANN C,N=STEFANI H A,N=TONELLI P G,N=TORELLO P,N=URROZ P,N=VILLA N S,N=VILLALONGA J C,N=WECHSLER M G,N=WISKY S J,N=WOLFF W E
42,A=PRO,N=SCAGLIA G
50,N=PRO,N=ACERENZA S M C,N=AICEGA J,N=AMADEO E P,U=ANSALONI P M,N=BALDASSI H W,N=BERISSO H,N=BRAGAGNOLO S,N=BRAMBILLA S,N=BUIL S O,N=CÁCERES E A,U=CARAMBIA A J,N=ENRIQUEZ J R,N=FERNANDEZ LANGAN E,N=FREGONESE A,N=FRIZZA G A,N=GARCIA A,N=GARRETÓN F,N=GAYOL Y C,N=GONZÁLEZ Ã G,U=GRANDE M,U=HERS CABRAL A R,N=HUCZAK S M,N=HUMMEL A,N=IGLESIAS F A,N=INCICCO L C,U=LASPINA L A,N=LIPOVETZKY D A,N=LÓPEZ KOENIG L G,N=LOSPENNATO S G,N=MAQUIEYRA M,N=MASSOT N M,N=MEDINA M N,U=MOLINA K A,U=MONALDI O,N=MONTENEGRO G T,N=NUÑEZ J C,U=OCAÑA M G,N=PICCOLOMINI M C,N=POLLEDO C,N=PRETTO P J,N=ROMA C G,N=SAHAD J E,N=SCAGLIA G,N=SCHLERETH D P,N=SCHMIDT LIERMANN C,N=STEFANI H A,N=TONELLI P G,N=TORELLO P,N=URROZ P,N=VILLA N S,N=VILLALONGA J C,N=WECHSLER M G,N=WISKY S J,N=WOLFF W E
58,A=PRO,U=ACERENZA S M C,U=BALDASSI H W,U=CARAMBIA A J,U=HERS CABRAL A R,U=LASPINA L A,U=MONALDI O
65,A=PRO,U=ACERENZA S M C,U=AMADEO E P,U=CARAMBIA A J,U=HERS CABRAL A R,U=LASPINA L A,U=MONALDI O,U=VILLALONGA J C,U=WISKY S J
21,N=PRO,N=ACERENZA S M C,N=AICEGA J,N=AMADEO E P,N=ANSALONI P M,N=BALBO E S,N=BALDASSI H W,N=BERISSO H,N=BRAMBILLA S,N=BUIL S O,N=CÁCERES E A,N=CARAMBIA A J,N=ENRIQUEZ J R,N=FERNANDEZ LANGAN E,N=FREGONESE A,N=FRIZZA G A,N=GARCIA A,N=GARRETÓN F,N=GAYOL Y C,N=GONZÁLEZ Ã G,N=GRANDE M,N=HERS CABRAL A R,N=HUCZAK S M,N=HUMMEL A,N=IGLESIAS F A,N=INCICCO L C,N=LASPINA L A,N=LIPOVETZKY D A,U=LÓPEZ KOENIG L G,N=LOSPENNATO S G,N=MAQUIEYRA M,N=MASSOT N M,N=MEDINA M N,U=MOLINA K A,N=MONALDI O,U=MONTENEGRO G T,N=NUÑEZ J C,N=OCAÑA M G,N=PICCOLOMINI M C,N=POLLEDO C,N=PRETTO P J,N=ROMA C G,N=SAHAD J E,N=SCAGLIA G,N=SCHLERETH D P,N=SCHMIDT LIERMANN C,N=STEFANI H A,N=TONELLI P G,N=TORELLO P,N=URROZ P,N=VILLA N S,N=VILLALONGA J C,N=WECHSLER M G,N=WISKY S J,N=WOLFF W E
36,N=PRO,N=ACERENZA S M C,N=AICEGA J,N=AMADEO E P,N=ANSALONI P M,N=BALBO E S,N=BALDASSI H W,N=BERISSO H,N=BRAMBILLA S,N=BUIL S O,N=CÁCERES E A,U=CARAMBIA A J,N=ENRIQUEZ J R,N=FERNANDEZ LANGAN E,N=FREGONESE A,N=FRIZZA G A,N=GARCIA A,N=GARRETÓN F,N=GAYOL Y C,N=GONZÁLEZ Ã G,N=GRANDE M,N=HERS CABRAL A R,N=HUCZAK S M,N=HUMMEL A,N=IGLESIAS F A,N=INCICCO L C,N=LASPINA L A,U=LIPOVETZKY D A,N=LÓPEZ KOENIG L G,N=LOSPENNATO S G,N=MAQUIEYRA M,N=MASSOT N M,N=MEDINA M N,N=MOLINA K A,N=MONALDI O,U=MONTENEGRO G T,N=NUÑEZ J C,N=OCAÑA M G,N=PICCOLOMINI M C,N=POLLEDO C,N=PRETTO P J,N=ROMA C G,N=SAHAD J E,N=SCAGLIA G,N=SCHLERETH D P,N=SCHMIDT LIERMANN C,U=STEFANI H A,N=TONELLI P G,N=TORELLO P,N=URROZ P,N=VILLA N S,N=VILLALONGA J C,N=WECHSLER M G,N=WISKY S J,N=WOLFF W E
60,A=PRO,U=ACERENZA S M C,U=CARAMBIA A J,U=HERS CABRAL A R,U=LASPINA L A,U=MONALDI O
